ID,Class
6679,A
6680,S
6681,B
6682,S
6683,D
6684,A
6685,u
6686,N
6687,X
6688,R
6689,L
6690,S
6691,A
6692,E
6693,A
6694,I
6695,A
6696,E
6697,E
6698,E
6699,E
6700,S
6701,C
6702,K
6703,S
6704,O
6705,E
6706,N
6707,E
6708,O
6709,E
6710,I
6711,O
6712,O
6713,T
6714,L
6715,A
6716,A
6717,S
6718,4
6719,O
6720,L
6721,S
6722,O
6723,I
6724,E
6725,N
6726,T
6727,N
6728,E
6729,E
6730,E
6731,H
6732,T
6733,E
6734,N
6735,I
6736,C
6737,D
6738,R
6739,T
6740,E
6741,M
6742,I
6743,B
6744,O
6745,C
6746,R
6747,N
6748,a
6749,n
6750,I
6751,I
6752,E
6753,T
6754,N
6755,n
6756,O
6757,E
6758,R
6759,A
6760,T
6761,N
6762,S
6763,u
6764,L
6765,S
6766,I
6767,m
6768,I
6769,O
6770,i
6771,B
6772,l
6773,R
6774,V
6775,C
6776,S
6777,A
6778,C
6779,A
6780,C
6781,A
6782,n
6783,A
6784,T
6785,O
6786,r
6787,T
6788,4
6789,e
6790,e
6791,a
6792,I
6793,O
6794,M
6795,m
6796,L
6797,A
6798,V
6799,O
6800,S
6801,I
6802,G
6803,A
6804,A
6805,A
6806,T
6807,N
6808,D
6809,O
6810,O
6811,E
6812,N
6813,a
6814,E
6815,n
6816,A
6817,B
6818,t
6819,D
6820,A
6821,E
6822,A
6823,A
6824,2
6825,H
6826,S
6827,M
6828,N
6829,R
6830,R
6831,S
6832,C
6833,S
6834,I
6835,A
6836,T
6837,X
6838,O
6839,A
6840,E
6841,T
6842,a
6843,E
6844,n
6845,O
6846,C
6847,O
6848,S
6849,I
6850,h
6851,O
6852,O
6853,2
6854,C
6855,d
6856,B
6857,V
6858,N
6859,E
6860,O
6861,N
6862,S
6863,T
6864,C
6865,I
6866,F
6867,A
6868,s
6869,K
6870,E
6871,L
6872,T
6873,O
6874,S
6875,G
6876,l
6877,A
6878,L
6879,I
6880,A
6881,A
6882,O
6883,S
6884,L
6885,L
6886,N
6887,A
6888,A
6889,N
6890,O
6891,R
6892,i
6893,A
6894,S
6895,Z
6896,O
6897,N
6898,r
6899,O
6900,3
6901,v
6902,a
6903,O
6904,S
6905,E
6906,i
6907,E
6908,B
6909,A
6910,E
6911,I
6912,R
6913,a
6914,I
6915,O
6916,T
6917,O
6918,O
6919,i
6920,R
6921,v
6922,O
6923,O
6924,A
6925,B
6926,A
6927,N
6928,E
6929,S
6930,R
6931,L
6932,O
6933,A
6934,A
6935,E
6936,M
6937,N
6938,G
6939,A
6940,E
6941,A
6942,a
6943,H
6944,O
6945,S
6946,E
6947,A
6948,a
6949,1
6950,U
6951,I
6952,o
6953,D
6954,n
6955,I
6956,S
6957,N
6958,t
6959,O
6960,S
6961,O
6962,G
6963,E
6964,O
6965,A
6966,z
6967,N
6968,V
6969,M
6970,O
6971,N
6972,R
6973,C
6974,E
6975,t
6976,G
6977,R
6978,O
6979,F
6980,i
6981,e
6982,M
6983,A
6984,a
6985,O
6986,A
6987,F
6988,I
6989,E
6990,R
6991,7
6992,a
6993,l
6994,S
6995,A
6996,T
6997,a
6998,I
6999,L
7000,A
7001,A
7002,T
7003,I
7004,d
7005,A
7006,T
7007,A
7008,E
7009,O
7010,A
7011,N
7012,O
7013,R
7014,O
7015,m
7016,P
7017,I
7018,L
7019,T
7020,A
7021,M
7022,T
7023,E
7024,E
7025,w
7026,a
7027,d
7028,O
7029,S
7030,a
7031,R
7032,I
7033,R
7034,n
7035,G
7036,A
7037,E
7038,S
7039,T
7040,A
7041,E
7042,C
7043,E
7044,E
7045,E
7046,a
7047,O
7048,I
7049,I
7050,T
7051,O
7052,1
7053,e
7054,M
7055,E
7056,Z
7057,N
7058,E
7059,E
7060,O
7061,N
7062,I
7063,T
7064,M
7065,C
7066,N
7067,2
7068,N
7069,T
7070,F
7071,a
7072,7
7073,E
7074,A
7075,N
7076,T
7077,O
7078,P
7079,A
7080,I
7081,A
7082,4
7083,n
7084,R
7085,S
7086,A
7087,h
7088,O
7089,D
7090,E
7091,R
7092,O
7093,R
7094,2
7095,A
7096,A
7097,O
7098,E
7099,E
7100,T
7101,3
7102,O
7103,C
7104,3
7105,G
7106,S
7107,E
7108,O
7109,a
7110,I
7111,A
7112,S
7113,S
7114,e
7115,F
7116,L
7117,L
7118,A
7119,S
7120,I
7121,R
7122,n
7123,E
7124,e
7125,E
7126,N
7127,e
7128,A
7129,A
7130,A
7131,o
7132,E
7133,E
7134,N
7135,I
7136,E
7137,O
7138,L
7139,t
7140,i
7141,I
7142,w
7143,n
7144,A
7145,E
7146,I
7147,G
7148,W
7149,O
7150,A
7151,I
7152,E
7153,A
7154,O
7155,A
7156,A
7157,O
7158,R
7159,4
7160,S
7161,R
7162,a
7163,T
7164,O
7165,A
7166,m
7167,X
7168,B
7169,S
7170,i
7171,O
7172,n
7173,P
7174,L
7175,C
7176,R
7177,a
7178,A
7179,V
7180,h
7181,A
7182,T
7183,N
7184,S
7185,z
7186,A
7187,M
7188,T
7189,L
7190,H
7191,n
7192,A
7193,i
7194,N
7195,H
7196,D
7197,A
7198,n
7199,O
7200,N
7201,z
7202,O
7203,O
7204,O
7205,O
7206,O
7207,y
7208,N
7209,N
7210,T
7211,O
7212,S
7213,R
7214,A
7215,O
7216,E
7217,C
7218,4
7219,I
7220,E
7221,A
7222,E
7223,R
7224,N
7225,O
7226,S
7227,R
7228,A
7229,O
7230,S
7231,A
7232,R
7233,R
7234,O
7235,u
7236,O
7237,S
7238,O
7239,K
7240,R
7241,R
7242,F
7243,A
7244,M
7245,N
7246,B
7247,O
7248,a
7249,O
7250,m
7251,O
7252,E
7253,a
7254,a
7255,A
7256,S
7257,O
7258,A
7259,D
7260,N
7261,E
7262,O
7263,N
7264,E
7265,A
7266,C
7267,S
7268,a
7269,A
7270,I
7271,Y
7272,G
7273,R
7274,S
7275,E
7276,O
7277,Y
7278,L
7279,E
7280,i
7281,n
7282,E
7283,T
7284,N
7285,T
7286,S
7287,P
7288,N
7289,I
7290,A
7291,A
7292,a
7293,S
7294,I
7295,n
7296,O
7297,R
7298,I
7299,m
7300,O
7301,I
7302,S
7303,O
7304,T
7305,F
7306,5
7307,D
7308,C
7309,F
7310,e
7311,N
7312,N
7313,A
7314,A
7315,I
7316,I
7317,s
7318,A
7319,e
7320,C
7321,E
7322,T
7323,G
7324,I
7325,i
7326,O
7327,9
7328,C
7329,I
7330,H
7331,R
7332,E
7333,A
7334,A
7335,B
7336,n
7337,S
7338,S
7339,Z
7340,l
7341,I
7342,I
7343,B
7344,L
7345,N
7346,H
7347,O
7348,C
7349,N
7350,A
7351,R
7352,a
7353,O
7354,I
7355,I
7356,E
7357,Z
7358,r
7359,2
7360,O
7361,T
7362,E
7363,A
7364,N
7365,C
7366,T
7367,M
7368,S
7369,E
7370,A
7371,i
7372,O
7373,I
7374,T
7375,E
7376,E
7377,N
7378,N
7379,4
7380,I
7381,a
7382,S
7383,S
7384,O
7385,W
7386,O
7387,O
7388,O
7389,A
7390,S
7391,C
7392,S
7393,N
7394,S
7395,E
7396,n
7397,L
7398,O
7399,D
7400,I
7401,E
7402,A
7403,E
7404,O
7405,2
7406,8
7407,E
7408,L
7409,O
7410,B
7411,N
7412,M
7413,T
7414,3
7415,R
7416,L
7417,E
7418,A
7419,C
7420,2
7421,E
7422,C
7423,A
7424,R
7425,R
7426,W
7427,S
7428,T
7429,M
7430,I
7431,r
7432,T
7433,A
7434,A
7435,C
7436,R
7437,T
7438,O
7439,S
7440,e
7441,a
7442,A
7443,D
7444,E
7445,O
7446,R
7447,T
7448,G
7449,T
7450,E
7451,I
7452,O
7453,S
7454,S
7455,A
7456,S
7457,S
7458,T
7459,B
7460,E
7461,H
7462,E
7463,E
7464,I
7465,N
7466,N
7467,T
7468,S
7469,T
7470,G
7471,R
7472,E
7473,I
7474,P
7475,A
7476,R
7477,O
7478,A
7479,i
7480,A
7481,B
7482,O
7483,6
7484,E
7485,E
7486,T
7487,L
7488,S
7489,E
7490,A
7491,M
7492,N
7493,S
7494,i
7495,C
7496,T
7497,E
7498,a
7499,a
7500,e
7501,s
7502,R
7503,N
7504,u
7505,N
7506,I
7507,i
7508,O
7509,A
7510,T
7511,F
7512,R
7513,E
7514,O
7515,A
7516,X
7517,P
7518,E
7519,H
7520,E
7521,T
7522,E
7523,A
7524,O
7525,N
7526,E
7527,A
7528,E
7529,I
7530,a
7531,R
7532,O
7533,A
7534,C
7535,A
7536,3
7537,O
7538,B
7539,R
7540,O
7541,C
7542,R
7543,C
7544,A
7545,A
7546,T
7547,R
7548,A
7549,t
7550,A
7551,A
7552,I
7553,4
7554,A
7555,J
7556,E
7557,N
7558,e
7559,S
7560,I
7561,O
7562,A
7563,T
7564,T
7565,R
7566,A
7567,R
7568,H
7569,O
7570,N
7571,E
7572,P
7573,a
7574,E
7575,e
7576,R
7577,O
7578,e
7579,a
7580,D
7581,H
7582,O
7583,I
7584,E
7585,n
7586,S
7587,S
7588,R
7589,I
7590,S
7591,P
7592,E
7593,r
7594,E
7595,O
7596,O
7597,R
7598,I
7599,i
7600,T
7601,I
7602,I
7603,i
7604,A
7605,N
7606,S
7607,m
7608,A
7609,A
7610,i
7611,N
7612,I
7613,O
7614,I
7615,a
7616,E
7617,I
7618,i
7619,N
7620,S
7621,M
7622,A
7623,S
7624,A
7625,S
7626,M
7627,O
7628,N
7629,R
7630,n
7631,O
7632,A
7633,A
7634,E
7635,A
7636,S
7637,R
7638,n
7639,G
7640,E
7641,E
7642,i
7643,I
7644,C
7645,k
7646,t
7647,E
7648,A
7649,m
7650,I
7651,R
7652,I
7653,A
7654,I
7655,R
7656,I
7657,E
7658,A
7659,r
7660,A
7661,m
7662,R
7663,A
7664,V
7665,E
7666,O
7667,E
7668,e
7669,f
7670,K
7671,a
7672,O
7673,X
7674,M
7675,a
7676,R
7677,D
7678,O
7679,T
7680,C
7681,A
7682,D
7683,A
7684,i
7685,I
7686,s
7687,B
7688,S
7689,O
7690,U
7691,E
7692,M
7693,C
7694,R
7695,M
7696,R
7697,A
7698,P
7699,A
7700,O
7701,I
7702,N
7703,R
7704,F
7705,R
7706,i
7707,R
7708,N
7709,N
7710,C
7711,R
7712,P
7713,R
7714,A
7715,G
7716,Z
7717,E
7718,T
7719,I
7720,T
7721,S
7722,S
7723,P
7724,S
7725,I
7726,I
7727,S
7728,N
7729,S
7730,O
7731,I
7732,N
7733,E
7734,T
7735,A
7736,l
7737,G
7738,R
7739,A
7740,L
7741,O
7742,A
7743,G
7744,O
7745,W
7746,R
7747,C
7748,A
7749,N
7750,N
7751,F
7752,C
7753,T
7754,r
7755,n
7756,P
7757,n
7758,m
7759,A
7760,a
7761,M
7762,S
7763,A
7764,N
7765,I
7766,m
7767,I
7768,s
7769,A
7770,N
7771,i
7772,R
7773,s
7774,R
7775,B
7776,A
7777,E
7778,E
7779,O
7780,7
7781,A
7782,r
7783,T
7784,N
7785,7
7786,r
7787,V
7788,S
7789,T
7790,P
7791,C
7792,q
7793,t
7794,S
7795,A
7796,E
7797,n
7798,R
7799,O
7800,D
7801,O
7802,I
7803,H
7804,A
7805,N
7806,O
7807,V
7808,O
7809,u
7810,S
7811,O
7812,S
7813,A
7814,T
7815,m
7816,O
7817,E
7818,n
7819,U
7820,O
7821,F
7822,e
7823,r
7824,T
7825,a
7826,G
7827,E
7828,E
7829,R
7830,E
7831,R
7832,N
7833,S
7834,D
7835,N
7836,A
7837,R
7838,B
7839,A
7840,Y
7841,e
7842,M
7843,N
7844,S
7845,E
7846,F
7847,I
7848,S
7849,L
7850,r
7851,R
7852,A
7853,M
7854,F
7855,i
7856,1
7857,A
7858,D
7859,A
7860,E
7861,A
7862,C
7863,C
7864,S
7865,7
7866,M
7867,T
7868,O
7869,G
7870,G
7871,S
7872,G
7873,I
7874,A
7875,I
7876,E
7877,B
7878,S
7879,N
7880,T
7881,n
7882,I
7883,C
7884,I
7885,S
7886,R
7887,a
7888,A
7889,J
7890,A
7891,E
7892,E
7893,A
7894,s
7895,N
7896,i
7897,K
7898,O
7899,E
7900,e
7901,e
7902,E
7903,S
7904,M
7905,T
7906,C
7907,S
7908,S
7909,e
7910,A
7911,A
7912,T
7913,O
7914,D
7915,n
7916,R
7917,a
7918,A
7919,I
7920,N
7921,J
7922,S
7923,N
7924,O
7925,S
7926,P
7927,N
7928,E
7929,r
7930,I
7931,a
7932,N
7933,H
7934,T
7935,R
7936,E
7937,y
7938,N
7939,E
7940,T
7941,D
7942,S
7943,n
7944,O
7945,e
7946,R
7947,F
7948,R
7949,T
7950,7
7951,E
7952,A
7953,A
7954,I
7955,S
7956,O
7957,E
7958,I
7959,P
7960,I
7961,E
7962,T
7963,w
7964,C
7965,O
7966,E
7967,B
7968,S
7969,C
7970,O
7971,T
7972,A
7973,4
7974,i
7975,R
7976,A
7977,K
7978,A
7979,E
7980,I
7981,I
7982,E
7983,A
7984,N
7985,L
7986,A
7987,E
7988,R
7989,D
7990,T
7991,s
7992,n
7993,C
7994,C
7995,n
7996,O
7997,R
7998,O
7999,O
8000,M
8001,O
8002,S
8003,2
8004,R
8005,T
8006,T
8007,I
8008,m
8009,A
8010,C
8011,T
8012,S
8013,R
8014,i
8015,E
8016,L
8017,N
8018,T
8019,n
8020,E
8021,A
8022,T
8023,O
8024,M
8025,2
8026,O
8027,S
8028,O
8029,A
8030,I
8031,E
8032,A
8033,C
8034,T
8035,E
8036,T
8037,E
8038,3
8039,O
8040,U
8041,I
8042,G
8043,n
8044,O
8045,M
8046,M
8047,N
8048,E
8049,S
8050,G
8051,A
8052,3
8053,P
8054,H
8055,s
8056,S
8057,E
8058,A
8059,M
8060,q
8061,e
8062,A
8063,S
8064,R
8065,A
8066,O
8067,S
8068,I
8069,R
8070,E
8071,A
8072,T
8073,N
8074,A
8075,G
8076,O
8077,A
8078,R
8079,M
8080,n
8081,E
8082,S
8083,E
8084,N
8085,O
8086,O
8087,T
8088,T
8089,G
8090,H
8091,s
8092,T
8093,A
8094,E
8095,O
8096,O
8097,S
8098,S
8099,A
8100,S
8101,I
8102,I
8103,A
8104,T
8105,A
8106,H
8107,C
8108,E
8109,T
8110,A
8111,E
8112,E
8113,H
8114,B
8115,n
8116,r
8117,A
8118,N
8119,L
8120,A
8121,N
8122,E
8123,n
8124,O
8125,N
8126,O
8127,E
8128,T
8129,a
8130,E
8131,q
8132,a
8133,N
8134,N
8135,R
8136,C
8137,k
8138,L
8139,E
8140,O
8141,I
8142,n
8143,C
8144,I
8145,I
8146,E
8147,T
8148,l
8149,B
8150,C
8151,R
8152,q
8153,N
8154,E
8155,N
8156,A
8157,B
8158,l
8159,G
8160,2
8161,I
8162,S
8163,N
8164,s
8165,T
8166,R
8167,a
8168,N
8169,G
8170,O
8171,I
8172,i
8173,S
8174,S
8175,K
8176,T
8177,R
8178,i
8179,S
8180,i
8181,O
8182,O
8183,O
8184,E
8185,G
8186,A
8187,A
8188,S
8189,R
8190,C
8191,S
8192,i
8193,S
8194,B
8195,M
8196,E
8197,A
8198,N
8199,2
8200,A
8201,C
8202,I
8203,I
8204,I
8205,A
8206,N
8207,O
8208,e
8209,L
8210,E
8211,S
8212,N
8213,A
8214,I
8215,E
8216,N
8217,L
8218,S
8219,N
8220,k
8221,S
8222,R
8223,T
8224,N
8225,E
8226,N
8227,A
8228,S
8229,A
8230,S
8231,R
8232,T
8233,N
8234,n
8235,E
8236,N
8237,P
8238,N
8239,A
8240,a
8241,O
8242,n
8243,T
8244,A
8245,E
8246,I
8247,T
8248,M
8249,T
8250,A
8251,C
8252,N
8253,O
8254,O
8255,S
8256,A
8257,a
8258,R
8259,M
8260,O
8261,E
8262,O
8263,T
8264,R
8265,G
8266,S
8267,R
8268,I
8269,r
8270,E
8271,E
8272,N
8273,A
8274,O
8275,A
8276,R
8277,A
8278,A
8279,C
8280,L
8281,O
8282,R
8283,A
8284,A
8285,n
8286,S
8287,T
8288,E
8289,V
8290,E
8291,I
8292,O
8293,G
8294,O
8295,T
8296,S
8297,N
8298,3
8299,T
8300,S
8301,O
8302,l
8303,n
8304,N
8305,O
8306,I
8307,K
8308,T
8309,N
8310,C
8311,I
8312,G
8313,E
8314,7
8315,A
8316,G
8317,A
8318,I
8319,R
8320,m
8321,i
8322,T
8323,F
8324,E
8325,S
8326,T
8327,A
8328,A
8329,1
8330,R
8331,A
8332,t
8333,S
8334,a
8335,O
8336,O
8337,A
8338,O
8339,I
8340,U
8341,C
8342,A
8343,A
8344,T
8345,N
8346,E
8347,R
8348,O
8349,A
8350,t
8351,R
8352,n
8353,i
8354,2
8355,W
8356,i
8357,9
8358,r
8359,O
8360,n
8361,7
8362,F
8363,E
8364,O
8365,D
8366,C
8367,O
8368,R
8369,s
8370,I
8371,i
8372,e
8373,A
8374,M
8375,R
8376,L
8377,R
8378,R
8379,N
8380,N
8381,m
8382,F
8383,K
8384,E
8385,a
8386,E
8387,C
8388,B
8389,E
8390,R
8391,l
8392,u
8393,e
8394,E
8395,E
8396,P
8397,s
8398,B
8399,A
8400,A
8401,O
8402,K
8403,C
8404,T
8405,s
8406,C
8407,S
8408,A
8409,E
8410,A
8411,E
8412,a
8413,A
8414,i
8415,D
8416,N
8417,G
8418,T
8419,D
8420,N
8421,N
8422,M
8423,n
8424,N
8425,I
8426,S
8427,T
8428,E
8429,O
8430,O
8431,T
8432,A
8433,S
8434,n
8435,O
8436,S
8437,B
8438,O
8439,A
8440,O
8441,A
8442,H
8443,R
8444,S
8445,t
8446,a
8447,R
8448,O
8449,A
8450,D
8451,P
8452,D
8453,I
8454,A
8455,7
8456,a
8457,H
8458,O
8459,A
8460,N
8461,O
8462,D
8463,E
8464,L
8465,A
8466,R
8467,H
8468,S
8469,F
8470,C
8471,S
8472,I
8473,B
8474,R
8475,O
8476,A
8477,a
8478,i
8479,C
8480,C
8481,O
8482,R
8483,A
8484,i
8485,T
8486,e
8487,e
8488,S
8489,e
8490,A
8491,8
8492,O
8493,R
8494,L
8495,L
8496,S
8497,T
8498,i
8499,N
8500,D
8501,J
8502,A
8503,7
8504,m
8505,E
8506,T
8507,G
8508,I
8509,E
8510,M
8511,T
8512,S
8513,6
8514,E
8515,A
8516,O
8517,I
8518,C
8519,O
8520,P
8521,M
8522,Y
8523,R
8524,P
8525,A
8526,A
8527,r
8528,D
8529,C
8530,A
8531,R
8532,T
8533,S
8534,E
8535,O
8536,H
8537,A
8538,A
8539,Z
8540,N
8541,n
8542,O
8543,L
8544,N
8545,S
8546,Y
8547,E
8548,m
8549,C
8550,A
8551,A
8552,O
8553,O
8554,C
8555,F
8556,P
8557,E
8558,T
8559,3
8560,A
8561,t
8562,O
8563,S
8564,S
8565,A
8566,O
8567,C
8568,S
8569,I
8570,i
8571,A
8572,S
8573,X
8574,O
8575,S
8576,O
8577,U
8578,k
8579,n
8580,T
8581,E
8582,E
8583,I
8584,N
8585,r
8586,C
8587,a
8588,O
8589,O
8590,C
8591,O
8592,R
8593,I
8594,E
8595,C
8596,M
8597,r
8598,P
8599,I
8600,E
8601,L
8602,A
8603,J
8604,T
8605,E
8606,A
8607,U
8608,n
8609,N
8610,A
8611,C
8612,A
8613,A
8614,A
8615,R
8616,h
8617,R
8618,S
8619,A
8620,O
8621,R
8622,T
8623,i
8624,S
8625,E
8626,n
8627,E
8628,M
8629,M
8630,S
8631,h
8632,O
8633,S
8634,N
8635,A
8636,I
8637,S
8638,E
8639,2
8640,N
8641,N
8642,L
8643,S
8644,M
8645,O
8646,O
8647,e
8648,O
8649,S
8650,E
8651,A
8652,K
8653,e
8654,B
8655,I
8656,N
8657,E
8658,B
8659,L
8660,E
8661,A
8662,1
8663,A
8664,V
8665,A
8666,N
8667,S
8668,D
8669,S
8670,S
8671,N
8672,R
8673,C
8674,O
8675,R
8676,A
8677,3
8678,O
8679,9
8680,O
8681,i
8682,A
8683,E
8684,G
8685,C
8686,A
8687,R
8688,A
8689,E
8690,A
8691,A
8692,I
8693,E
8694,I
8695,D
8696,S
8697,O
8698,D
8699,A
8700,O
8701,B
8702,R
8703,E
8704,N
8705,7
8706,E
8707,V
8708,S
8709,q
8710,C
8711,O
8712,A
8713,A
8714,A
8715,T
8716,A
8717,K
8718,N
8719,R
8720,n
8721,R
8722,A
8723,N
8724,2
8725,N
8726,E
8727,N
8728,M
8729,E
8730,T
8731,r
8732,2
8733,O
8734,R
8735,V
8736,F
8737,A
8738,A
8739,C
8740,N
8741,E
8742,E
8743,r
8744,V
8745,a
8746,E
8747,A
8748,a
8749,D
8750,E
8751,2
8752,R
8753,S
8754,A
8755,m
8756,N
8757,i
8758,R
8759,R
8760,A
8761,O
8762,A
8763,N
8764,O
8765,E
8766,u
8767,S
8768,L
8769,E
8770,B
8771,S
8772,H
8773,S
8774,e
8775,G
8776,a
8777,A
8778,R
8779,O
8780,C
8781,N
8782,L
8783,S
8784,C
8785,L
8786,E
8787,O
8788,C
8789,B
8790,a
8791,C
8792,T
8793,E
8794,O
8795,d
8796,O
8797,T
8798,N
8799,S
8800,O
8801,a
8802,E
8803,E
8804,a
8805,O
8806,N
8807,l
8808,S
8809,A
8810,E
8811,R
8812,O
8813,O
8814,u
8815,3
8816,S
8817,B
8818,S
8819,R
8820,L
8821,M
8822,A
8823,E
8824,T
8825,S
8826,S
8827,C
8828,O
8829,E
8830,R
8831,S
8832,O
8833,1
8834,G
8835,M
8836,E
8837,E
8838,N
8839,A
8840,R
8841,I
8842,A
8843,r
8844,M
8845,P
8846,S
8847,E
8848,I
8849,A
8850,S
8851,N
8852,O
8853,O
8854,O
8855,E
8856,S
8857,T
8858,C
8859,R
8860,O
8861,O
8862,A
8863,D
8864,O
8865,R
8866,N
8867,o
8868,L
8869,E
8870,T
8871,C
8872,A
8873,R
8874,L
8875,S
8876,F
8877,A
8878,R
8879,m
8880,T
8881,G
8882,C
8883,V
8884,A
8885,O
8886,y
8887,S
8888,P
8889,N
8890,R
8891,O
8892,O
8893,I
8894,n
8895,P
8896,O
8897,I
8898,S
8899,A
8900,R
8901,O
8902,E
8903,R
8904,O
8905,O
8906,I
8907,O
8908,O
8909,N
8910,l
8911,3
8912,2
8913,E
8914,A
8915,A
8916,E
8917,a
8918,l
8919,Y
8920,O
8921,C
8922,N
8923,T
8924,i
8925,s
8926,O
8927,D
8928,E
8929,C
8930,R
8931,M
8932,n
8933,E
8934,I
8935,R
8936,I
8937,C
8938,O
8939,N
8940,D
8941,B
8942,A
8943,a
8944,N
8945,S
8946,n
8947,L
8948,i
8949,H
8950,r
8951,I
8952,A
8953,T
8954,C
8955,I
8956,E
8957,E
8958,i
8959,C
8960,R
8961,S
8962,M
8963,a
8964,T
8965,G
8966,T
8967,A
8968,E
8969,N
8970,e
8971,n
8972,a
8973,A
8974,E
8975,A
8976,S
8977,C
8978,N
8979,n
8980,N
8981,E
8982,N
8983,L
8984,A
8985,O
8986,E
8987,E
8988,A
8989,O
8990,A
8991,A
8992,Z
8993,i
8994,E
8995,E
8996,T
8997,O
8998,A
8999,A
9000,G
9001,N
9002,A
9003,T
9004,E
9005,A
9006,I
9007,C
9008,A
9009,C
9010,A
9011,O
9012,P
9013,A
9014,R
9015,t
9016,R
9017,I
9018,T
9019,E
9020,T
9021,E
9022,R
9023,R
9024,E
9025,N
9026,N
9027,O
9028,S
9029,T
9030,A
9031,A
9032,A
9033,1
9034,N
9035,C
9036,U
9037,R
9038,C
9039,N
9040,T
9041,M
9042,S
9043,T
9044,I
9045,C
9046,I
9047,N
9048,I
9049,i
9050,R
9051,E
9052,E
9053,S
9054,M
9055,A
9056,n
9057,O
9058,E
9059,S
9060,S
9061,A
9062,m
9063,r
9064,m
9065,6
9066,A
9067,T
9068,A
9069,O
9070,T
9071,T
9072,I
9073,n
9074,J
9075,R
9076,A
9077,V
