ID,Class
7712,P
7713,e
7714,A
7715,G
7716,Z
7717,M
7718,n
7719,T
7720,T
7721,S
7722,S
7723,p
7724,g
7725,S
7726,t
7727,S
7728,N
7729,S
7730,D
7731,i
7732,N
7733,E
7734,0
7735,N
7736,U
7737,5
7738,R
7739,6
7740,O
7741,O
7742,A
7743,3
7744,1
7745,h
7746,R
7747,C
7748,r
7749,N
7750,T
7751,E
7752,C
7753,T
7754,E
7755,W
7756,R
7757,n
7758,e
7759,A
7760,9
7761,i
7762,S
7763,A
7764,W
7765,I
7766,m
7767,4
7768,5
7769,A
7770,N
7771,I
7772,R
7773,S
7774,R
7775,8
7776,A
7777,h
7778,E
7779,O
7780,j
7781,A
7782,r
7783,n
7784,I
7785,3
7786,C
7787,V
7788,S
7789,O
7790,e
7791,5
7792,A
7793,t
7794,N
7795,A
7796,E
7797,n
7798,e
7799,O
7800,S
7801,A
7802,I
7803,H
7804,A
7805,I
7806,M
7807,V
7808,O
7809,u
7810,K
7811,O
7812,3
7813,C
7814,r
7815,m
7816,i
7817,E
7818,i
7819,j
7820,l
7821,F
7822,e
7823,r
7824,j
7825,a
7826,A
7827,r
7828,B
7829,P
7830,S
7831,P
7832,X
7833,5
7834,D
7835,H
7836,A
7837,R
7838,g
7839,S
7840,Y
7841,e
7842,W
7843,T
7844,K
7845,E
7846,F
7847,1
7848,S
7849,W
7850,r
7851,R
7852,A
7853,M
7854,P
7855,i
7856,1
7857,u
7858,D
7859,r
7860,L
7861,5
7862,t
7863,U
7864,R
7865,7
7866,N
7867,K
7868,q
7869,G
7870,G
7871,E
7872,G
7873,U
7874,A
7875,h
7876,E
7877,B
7878,Z
7879,N
7880,B
7881,I
7882,T
7883,C
7884,a
7885,G
7886,R
7887,S
7888,8
7889,J
7890,A
7891,i
7892,E
7893,A
7894,S
7895,N
7896,I
7897,R
7898,O
7899,E
7900,e
7901,e
7902,E
7903,S
7904,N
7905,T
7906,O
7907,Y
7908,S
7909,O
7910,A
7911,K
7912,2
7913,D
7914,C
7915,C
7916,R
7917,K
7918,N
7919,1
7920,V
7921,J
7922,5
7923,H
7924,e
7925,S
7926,P
7927,Y
7928,E
7929,r
7930,I
7931,d
7932,N
7933,H
7934,T
7935,2
7936,B
7937,Y
7938,N
7939,I
7940,T
7941,f
7942,H
7943,D
7944,I
7945,S
7946,R
7947,F
7948,R
7949,C
7950,7
7951,L
7952,A
7953,A
7954,I
7955,B
7956,I
7957,I
7958,1
7959,F
7960,r
7961,E
7962,H
7963,W
7964,C
7965,O
7966,I
7967,B
7968,S
7969,m
7970,S
7971,N
7972,n
7973,R
7974,i
7975,P
7976,A
7977,K
7978,G
7979,T
7980,E
7981,I
7982,E
7983,T
7984,O
7985,L
7986,i
7987,N
7988,e
7989,D
7990,T
7991,S
7992,u
7993,q
7994,C
7995,n
7996,O
7997,R
7998,b
7999,D
8000,N
8001,O
8002,S
8003,g
8004,e
8005,T
8006,T
8007,I
8008,m
8009,A
8010,C
8011,A
8012,G
8013,R
8014,I
8015,E
8016,L
8017,c
8018,t
8019,n
8020,T
8021,A
8022,T
8023,U
8024,H
8025,a
8026,O
8027,q
8028,O
8029,A
8030,h
8031,N
8032,G
8033,e
8034,t
8035,S
8036,M
8037,E
8038,T
8039,Q
8040,U
8041,0
8042,i
8043,Q
8044,R
8045,W
8046,V
8047,D
8048,S
8049,n
8050,C
8051,A
8052,3
8053,P
8054,H
8055,S
8056,H
8057,I
8058,J
8059,N
8060,q
8061,9
8062,R
8063,S
8064,R
8065,E
8066,O
8067,e
8068,i
8069,N
8070,N
8071,V
8072,I
8073,I
8074,9
8075,G
8076,O
8077,T
8078,R
8079,M
8080,y
8081,E
8082,S
8083,E
8084,N
8085,d
8086,g
8087,m
8088,T
8089,C
8090,R
8091,S
8092,T
8093,S
8094,T
8095,O
8096,r
8097,T
8098,d
8099,A
8100,S
8101,i
8102,I
8103,H
8104,I
8105,A
8106,H
8107,C
8108,L
8109,T
8110,A
8111,C
8112,i
8113,Z
8114,e
8115,D
8116,L
8117,A
8118,N
8119,L
8120,A
8121,R
8122,G
8123,n
8124,I
8125,n
8126,O
8127,E
8128,I
8129,1
8130,L
8131,d
8132,i
8133,N
8134,K
8135,R
8136,C
8137,k
8138,E
8139,E
8140,O
8141,r
8142,D
8143,q
8144,T
8145,n
8146,W
8147,y
8148,O
8149,K
8150,C
8151,R
8152,a
8153,W
8154,u
8155,U
8156,r
8157,B
8158,I
8159,o
8160,J
8161,H
8162,S
8163,M
8164,S
8165,2
8166,R
8167,b
8168,O
8169,G
8170,D
8171,E
8172,i
8173,Z
8174,S
8175,K
8176,T
8177,R
8178,W
8179,E
8180,I
8181,I
8182,O
8183,O
8184,E
8185,6
8186,R
8187,L
8188,A
8189,H
8190,E
8191,S
8192,i
8193,S
8194,B
8195,M
8196,E
8197,A
8198,S
8199,p
8200,A
8201,B
8202,I
8203,t
8204,i
8205,A
8206,N
8207,D
8208,e
8209,L
8210,E
8211,S
8212,M
8213,A
8214,T
8215,E
8216,N
8217,C
8218,S
8219,J
8220,k
8221,1
8222,R
8223,K
8224,f
8225,W
8226,N
8227,A
8228,E
8229,R
8230,S
8231,9
8232,T
8233,N
8234,E
8235,A
8236,i
8237,p
8238,I
8239,n
8240,a
8241,O
8242,a
8243,I
8244,G
8245,G
8246,I
8247,L
8248,V
8249,I
8250,A
8251,C
8252,M
8253,O
8254,O
8255,S
8256,Y
8257,F
8258,m
8259,M
8260,O
8261,N
8262,O
8263,T
8264,9
8265,G
8266,S
8267,e
8268,H
8269,I
8270,u
8271,E
8272,M
8273,P
8274,O
8275,C
8276,R
8277,R
8278,A
8279,C
8280,L
8281,O
8282,R
8283,A
8284,A
8285,L
8286,S
8287,T
8288,k
8289,O
8290,E
8291,i
8292,P
8293,j
8294,O
8295,1
8296,t
8297,N
8298,3
8299,C
8300,H
8301,6
8302,I
8303,D
8304,N
8305,O
8306,V
8307,1
8308,O
8309,N
8310,C
8311,C
8312,G
8313,E
8314,7
8315,A
8316,6
8317,L
8318,C
8319,L
8320,m
8321,i
8322,T
8323,F
8324,E
8325,N
8326,1
8327,B
8328,X
8329,I
8330,g
8331,A
8332,t
8333,N
8334,7
8335,O
8336,D
8337,A
8338,O
8339,C
8340,B
8341,U
8342,O
8343,A
8344,C
8345,N
8346,S
8347,A
8348,O
8349,e
8350,I
8351,R
8352,O
8353,i
8354,Z
8355,v
8356,i
8357,9
8358,O
8359,I
8360,r
8361,T
8362,F
8363,M
8364,O
8365,D
8366,e
8367,Q
8368,R
8369,S
8370,B
8371,t
8372,i
8373,n
8374,N
8375,P
8376,L
8377,R
8378,R
8379,N
8380,N
8381,n
8382,F
8383,K
8384,S
8385,a
8386,5
8387,L
8388,B
8389,8
8390,R
8391,I
8392,U
8393,S
8394,N
8395,S
8396,P
8397,S
8398,B
8399,I
8400,A
8401,p
8402,K
8403,t
8404,S
8405,S
8406,N
8407,S
8408,A
8409,E
8410,N
8411,E
8412,6
8413,h
8414,T
8415,0
8416,I
8417,6
8418,L
8419,D
8420,E
8421,N
8422,M
8423,N
8424,N
8425,0
8426,A
8427,E
8428,E
8429,D
8430,O
8431,T
8432,A
8433,H
8434,i
8435,O
8436,A
8437,B
8438,O
8439,A
8440,D
8441,A
8442,H
8443,R
8444,S
8445,t
8446,Z
8447,o
8448,I
8449,A
8450,D
8451,I
8452,D
8453,N
8454,I
8455,Z
8456,a
8457,H
8458,W
8459,X
8460,E
8461,d
8462,9
8463,E
8464,L
8465,i
8466,N
8467,H
8468,L
8469,F
8470,C
8471,T
8472,C
8473,B
8474,R
8475,R
8476,R
8477,E
8478,T
8479,O
8480,A
8481,0
8482,P
8483,B
8484,C
8485,U
8486,e
8487,t
8488,5
8489,e
8490,A
8491,E
8492,O
8493,R
8494,E
8495,L
8496,S
8497,h
8498,r
8499,V
8500,D
8501,J
8502,d
8503,E
8504,m
8505,E
8506,T
8507,C
8508,M
8509,I
8510,N
8511,A
8512,h
8513,6
8514,E
8515,D
8516,1
8517,I
8518,g
8519,J
8520,T
8521,H
8522,Y
8523,R
8524,L
8525,K
8526,S
8527,N
8528,D
8529,j
8530,Z
8531,P
8532,E
8533,E
8534,F
8535,O
8536,H
8537,2
8538,A
8539,Z
8540,E
8541,n
8542,D
8543,I
8544,M
8545,F
8546,Y
8547,L
8548,m
8549,C
8550,S
8551,R
8552,O
8553,O
8554,S
8555,F
8556,9
8557,D
8558,H
8559,2
8560,I
8561,Y
8562,O
8563,S
8564,3
8565,G
8566,I
8567,f
8568,G
8569,I
8570,i
8571,b
8572,S
8573,V
8574,D
8575,3
8576,O
8577,B
8578,k
8579,T
8580,I
8581,K
8582,e
8583,U
8584,H
8585,i
8586,a
8587,6
8588,I
8589,n
8590,5
8591,U
8592,R
8593,I
8594,E
8595,r
8596,M
8597,2
8598,K
8599,i
8600,N
8601,C
8602,e
8603,J
8604,T
8605,E
8606,A
8607,U
8608,E
8609,I
8610,O
8611,C
8612,E
8613,4
8614,S
8615,R
8616,h
8617,R
8618,H
8619,O
8620,O
8621,A
8622,e
8623,I
8624,6
8625,E
8626,h
8627,E
8628,M
8629,M
8630,8
8631,h
8632,O
8633,S
8634,N
8635,A
8636,I
8637,C
8638,T
8639,B
8640,V
8641,S
8642,d
8643,a
8644,M
8645,O
8646,O
8647,e
8648,O
8649,G
8650,L
8651,d
8652,R
8653,e
8654,B
8655,S
8656,N
8657,I
8658,B
8659,W
8660,y
8661,I
8662,1
8663,I
8664,V
8665,A
8666,N
8667,E
8668,D
8669,n
8670,S
8671,N
8672,R
8673,i
8674,O
8675,X
8676,n
8677,S
8678,F
8679,9
8680,r
8681,I
8682,A
8683,E
8684,O
8685,C
8686,R
8687,H
8688,A
8689,S
8690,6
8691,S
8692,L
8693,O
8694,i
8695,N
8696,S
8697,O
8698,D
8699,9
8700,D
8701,E
8702,P
8703,E
8704,Y
8705,7
8706,S
8707,Y
8708,S
8709,q
8710,V
8711,J
8712,F
8713,R
8714,a
8715,1
8716,S
8717,K
8718,N
8719,R
8720,I
8721,R
8722,q
8723,W
8724,i
8725,9
8726,R
8727,g
8728,M
8729,S
8730,H
8731,D
8732,E
8733,D
8734,R
8735,P
8736,k
8737,A
8738,A
8739,L
8740,N
8741,1
8742,i
8743,r
8744,E
8745,T
8746,R
8747,G
8748,S
8749,D
8750,E
8751,2
8752,P
8753,g
8754,a
8755,m
8756,T
8757,i
8758,R
8759,P
8760,R
8761,O
8762,A
8763,N
8764,O
8765,g
8766,U
8767,E
8768,L
8769,E
8770,e
8771,A
8772,H
8773,S
8774,e
8775,E
8776,a
8777,A
8778,R
8779,O
8780,U
8781,n
8782,O
8783,T
8784,O
8785,A
8786,L
8787,O
8788,G
8789,B
8790,T
8791,C
8792,U
8793,M
8794,Q
8795,d
8796,O
8797,U
8798,N
8799,S
8800,O
8801,Z
8802,u
8803,L
8804,a
8805,g
8806,S
8807,I
8808,n
8809,V
8810,E
8811,R
8812,O
8813,O
8814,U
8815,3
8816,n
8817,B
8818,S
8819,e
8820,L
8821,W
8822,A
8823,E
8824,T
8825,C
8826,C
8827,a
8828,e
8829,E
8830,R
8831,f
8832,O
8833,1
8834,6
8835,N
8836,L
8837,P
8838,i
8839,u
8840,e
8841,V
8842,A
8843,k
8844,M
8845,P
8846,j
8847,E
8848,I
8849,A
8850,S
8851,j
8852,D
8853,R
8854,O
8855,W
8856,A
8857,f
8858,B
8859,R
8860,O
8861,D
8862,U
8863,P
8864,O
8865,e
8866,N
8867,O
8868,L
8869,N
8870,D
8871,V
8872,A
8873,R
8874,L
8875,E
8876,F
8877,A
8878,g
8879,i
8880,T
8881,e
8882,G
8883,u
8884,A
8885,D
8886,y
8887,5
8888,P
8889,N
8890,7
8891,R
8892,O
8893,E
8894,n
8895,g
8896,a
8897,T
8898,S
8899,A
8900,e
8901,e
8902,C
8903,R
8904,O
8905,O
8906,W
8907,O
8908,O
8909,1
8910,I
8911,7
8912,2
8913,E
8914,6
8915,R
8916,E
8917,4
8918,u
8919,y
8920,O
8921,C
8922,N
8923,T
8924,i
8925,S
8926,0
8927,P
8928,L
8929,Z
8930,R
8931,M
8932,a
8933,L
8934,r
8935,P
8936,O
8937,e
8938,O
8939,N
8940,D
8941,B
8942,S
8943,a
8944,N
8945,I
8946,K
8947,L
8948,I
8949,H
8950,r
8951,2
8952,C
8953,r
8954,e
8955,I
8956,8
8957,N
8958,1
8959,C
8960,P
8961,S
8962,M
8963,a
8964,T
8965,e
8966,T
8967,S
8968,r
8969,w
8970,e
8971,O
8972,d
8973,A
8974,1
8975,o
8976,e
8977,G
8978,Y
8979,r
8980,D
8981,3
8982,W
8983,U
8984,S
8985,6
8986,5
8987,P
8988,N
8989,D
8990,A
8991,A
8992,2
8993,i
8994,E
8995,n
8996,h
8997,O
8998,A
8999,A
9000,e
9001,N
9002,A
9003,D
9004,V
9005,A
9006,H
9007,O
9008,A
9009,n
9010,A
9011,O
9012,P
9013,O
9014,d
9015,t
9016,R
9017,I
9018,E
9019,P
9020,T
9021,T
9022,R
9023,A
9024,H
9025,X
9026,R
9027,O
9028,M
9029,t
9030,D
9031,A
9032,U
9033,I
9034,H
9035,e
9036,U
9037,R
9038,P
9039,N
9040,N
9041,M
9042,E
9043,L
9044,I
9045,J
9046,I
9047,N
9048,t
9049,S
9050,P
9051,2
9052,g
9053,i
9054,M
9055,A
9056,I
9057,0
9058,2
9059,S
9060,S
9061,y
9062,S
9063,C
9064,m
9065,E
9066,A
9067,T
9068,C
9069,O
9070,E
